,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
50,CA,BUR,P,S,1973897,Bob Hope Airport,Burbank,United States,34.2006988525,-118.35900116,778.0,-8,16.9520225776,3.0,-3.0,16232,1.64489896501,10.0,-1.0,16232
51,TN,MEM,P,S,1873716,Memphis International Airport,Memphis,United States,35.0424003601,-89.9766998291,341.0,-6,20.2160493827,5.0,-3.0,3295,1.4871016692,9.0,-2.0,3295
52,OK,OKC,P,S,1803188,Will Rogers World Airport,Oklahoma City,United States,35.3931007385,-97.6007003784,1295.0,-6,21.0783564992,4.0,-2.0,6628,1.04088097752,9.0,-1.0,6629
53,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,16.7453908274,5.0,-6.0,6671,1.43928035982,9.0,-1.0,6670
54,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,19.8412698413,5.0,-3.0,1152,1.64930555556,11.0,-3.0,1152
55,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,16.2092938163,6.0,-5.0,2803,1.8194791295,10.0,-1.0,2803
56,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,18.296973962,4.0,-3.0,7206,1.2215435869,9.0,-1.0,7204
57,KY,SDF,P,S,1640297,Louisville International Standiford Field,Louisville,United States,38.1744,-85.736,501.0,-5,17.8765880218,5.0,-4.0,4479,1.29493190444,9.0,-2.0,4479
58,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,21.6536312849,4.0,-2.0,4518,0.81912773965,9.0,-2.0,4517
59,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,19.1916075285,4.0,-3.0,3262,0.674846625767,9.0,-2.0,3260
60,VA,ORF,P,S,1515200,Norfolk International Airport,Norfolk,United States,36.8945999146,-76.2012023926,26.0,-5,16.8295331162,4.0,-3.0,2817,2.02271114265,9.0,-1.0,2818
61,ID,BOI,P,S,1487777,Boise Air Terminal/Gowen field,Boise,United States,43.56439972,-116.2229996,2871.0,-7,18.3754615166,3.0,-4.0,3539,0.593555681176,9.0,-2.0,3538
62,TX,ELP,P,S,1381392,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984,3959.0,-7,21.8379160637,4.0,-1.0,6960,0.60353499066,10.0,-1.0,6959
63,OK,TUL,P,S,1359582,Tulsa International Airport,Tulsa,United States,36.1983985901,-95.8880996704,677.0,-6,19.7851387645,4.0,-3.0,4499,0.75572349411,9.0,-2.0,4499
64,AL,BHM,P,S,1325897,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,650.0,-6,16.875739645,3.0,-5.0,4263,0.75064508562,9.0,-2.0,4263
65,MI,GRR,P,S,1280803,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663,794.0,-5,17.9146919431,5.0,-4.0,2148,1.58286778399,10.0,-3.0,2148
66,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,16.7907921462,4.0,-5.0,4474,0.893854748603,9.0,-2.0,4475
67,CA,LGB,P,S,1220937,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004,60.0,-8,17.5834084761,5.0,-4.0,1120,1.25111706881,10.0,-1.0,1119
68,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,17.0345217883,6.0,-4.0,1796,1.33630289532,9.0,-2.0,1796
69,IA,DSM,P,S,1156462,Des Moines International Airport,Des Moines,United States,41.5340003967,-93.6631011963,958.0,-6,18.4688995215,4.0,-5.0,1052,0.569800569801,8.0,-2.0,1053
70,OH,DAY,P,S,1041759,James M Cox Dayton International Airport,Dayton,United States,39.9024009705,-84.2193984985,1009.0,-5,16.8232280102,4.0,-6.0,1200,2.25,9.0,-3.0,1200
71,NH,MHT,P,S,1026349,Manchester Airport,Manchester NH,United States,42.932598114,-71.4356994629,266.0,-5,16.1440677966,4.0,-5.0,4789,1.5246449457,10.0,-3.0,4788
72,AR,LIT,P,S,958510,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,34.7294006348,-92.2242965698,262.0,-6,16.963562753,4.0,-4.0,2489,0.481927710843,8.0,-2.0,2490
73,SC,GSP,P,S,955097,Greenville Spartanburg International Airport,Greenville,United States,34.8956985474,-82.2189025879,964.0,-5,17.8780284043,4.0,-7.0,1221,1.80327868852,9.0,-2.0,1220
74,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,15.8254918734,4.0,-5.0,1184,1.60608622147,8.0,-2.0,1183
75,FL,PNS,P,S,787916,Pensacola Regional Airport,Pensacola,United States,30.473400116,-87.1865997314,121.0,-6,20.5035971223,4.0,-3.0,1126,0.976042590949,8.0,-3.0,1127
76,KS,ICT,P,S,773550,Wichita Mid Continent Airport,Wichita,United States,37.6498985291,-97.4330978394,1333.0,-6,14.8474576271,4.0,-5.0,1488,0.470114170584,9.0,-4.0,1489
77,OH,CAK,P,S,759335,Akron Canton Regional Airport,Akron,United States,40.9160995483,-81.442199707,1228.0,-5,19.8258539853,4.0,-4.0,1501,0.266134397871,9.0,-3.0,1503
78,NY,ISP,P,S,603653,Long Island Mac Arthur Airport,Islip,United States,40.79520035,-73.10019684,99.0,-5,18.0654955541,5.0,-4.0,4708,1.82745431364,9.0,-2.0,4706
79,TX,MAF,P,S,518509,Midland International Airport,Midland,United States,31.9424991608,-102.202003479,2871.0,-6,16.677653263,3.0,-5.0,3075,1.07317073171,9.0,-3.0,3075
80,TX,LBB,P,S,443239,Lubbock Preston Smith International Airport,Lubbock,United States,33.6636009216,-101.822998047,3282.0,-6,18.7678498572,4.0,-3.0,2473,0.848827809216,9.0,-3.0,2474
81,FL,ECP,P,S,428704,Northwest Florida Beaches International Airport,Panama City,United States,30.357106,-85.795414,69.0,-6,18.5037121645,3.0,-4.0,1766,1.01925254813,8.0,-3.0,1766
82,MI,FNT,P,S,411763,Bishop International Airport,Flint,United States,42.9654006958,-83.743598938,782.0,-5,15.1234567901,5.0,-7.0,1328,2.40782543266,9.0,-3.0,1329
83,TX,AMA,P,N,341132,Rick Husband Amarillo International Airport,Amarillo,United States,35.2193984985,-101.706001282,3607.0,-6,19.2671394799,4.0,-2.0,1709,0.760233918129,8.0,-2.0,1710
84,TX,CRP,P,N,338312,Corpus Christi International Airport,Corpus Christi,United States,27.7703990936,-97.5011978149,44.0,-6,18.3098591549,4.0,-2.0,1365,1.39194139194,9.0,-2.0,1365
85,TX,HRL,P,N,259864,Valley International Airport,Harlingen,United States,26.2285003662,-97.6544036865,36.0,-6,17.7734375,3.0,-3.0,2070,0.724637681159,8.0,-3.0,2070
