,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
32,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,22.5340487,4.0,-6.0,4921,1.30054866897,11.0,0.0,4921
33,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,16.7189952904,6.0,-10.0,1279,0.625488663018,11.0,-3.0,1279
34,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,18.6450839329,5.0,-7.0,1687,1.00770598696,11.0,-5.0,1687
35,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,26.9639934534,3.0,-4.0,7453,1.7035546613,12.0,1.0,7455
36,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,23.9455330455,5.0,-3.0,3049,1.04827586207,12.0,-2.0,3625
37,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,21.0839954597,4.0,-6.0,3586,1.8678561472,12.0,-4.0,3587
38,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,21.4285714286,4.0,-3.5,364,0.274725274725,12.0,-3.0,364
39,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,19.6905135681,3.0,-6.0,4541,1.65161858621,10.0,-6.0,4541
40,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,26.4797507788,6.0,-4.0,326,1.53374233129,10.0,3.0,326
41,CA,BUR,P,S,1973897,Bob Hope Airport,Burbank,United States,34.2006988525,-118.35900116,778.0,-8,23.8764044944,3.0,-8.0,365,1.37741046832,14.0,3.0,363
42,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,21.2406015038,4.0,-5.0,1080,1.66821130677,10.0,-5.0,1079
43,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,19.1189427313,4.0,-6.0,2312,1.72935581496,10.0,-5.0,2313
44,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,19.6326061998,7.0,-8.0,2673,2.17065868263,12.0,-3.0,2672
45,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,22.8637413395,5.0,-6.0,442,2.03619909502,11.0,2.0,442
46,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,19.8630136986,3.0,-5.0,732,0.273224043716,10.0,-2.0,732
47,CA,LGB,P,S,1220937,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004,60.0,-8,19.0243334498,3.0,-4.0,8680,0.829684259046,11.0,-3.0,8678
48,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,20.9179170344,5.0,-5.0,1170,2.90350128096,10.0,-6.0,1171
49,NY,SYR,P,S,987732,Syracuse Hancock International Airport,Syracuse,United States,43.1111984253,-76.106300354,421.0,-5,25.2359974827,3.0,-4.0,1625,2.58302583026,12.0,-6.0,1626
50,GA,SAV,P,S,980531,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,50.0,-5,18.5152057245,4.0,-8.0,1140,1.84210526316,12.0,-1.0,1140
51,CA,PSP,P,S,947728,Palm Springs International Airport,Palm Springs,United States,33.82970047,-116.507003784,477.0,-8,28.2051282051,4.0,-2.0,121,2.47933884298,12.0,6.5,121
52,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,23.4441602728,3.0,-3.0,1200,2.2481265612,12.0,-6.0,1201
53,NY,HPN,P,S,757466,Westchester County Airport,White Plains,United States,41.0670013428,-73.7076034546,439.0,-5,26.0114107884,4.0,-2.0,3948,1.67300380228,12.0,-2.0,3945
54,FL,SRQ,P,S,607449,Sarasota Bradenton International Airport,Sarasota,United States,27.3953990936,-82.554397583,30.0,-5,26.2463343109,4.0,-5.0,690,1.59420289855,11.0,5.0,690
55,VT,BTV,P,S,581143,Burlington International Airport,Burlington,United States,44.4719009399,-73.1532974243,335.0,-5,21.6216216216,4.0,-5.0,1171,2.13492741247,12.0,-6.0,1171
56,FL,DAB,P,N,306360,Daytona Beach International Airport,Daytona Beach,United States,29.179899,-81.058098,34.0,-5,18.9265536723,3.0,-11.0,360,1.66666666667,12.0,-2.5,360
57,MA,ACK,P,N,155952,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355,47.0,-5,15.0165016502,5.0,-8.0,612,0.653594771242,12.0,-2.0,612
58,NY,SWF,P,N,142603,Stewart International Airport,Newburgh,United States,41.5041007996,-74.1047973633,491.0,-5,27.7932960894,5.0,0.0,730,2.17391304348,11.0,-4.0,736
