,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
22,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,8.94545454545,3.0,-6.0,1381,0.217233888487,15.0,-6.0,1381
23,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,10.7784431138,5.0,-12.0,503,0.0,21.0,-5.0,503
24,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,8.79120879121,5.0,-16.0,91,0.0,16.0,-6.0,91
25,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,9.20972644377,4.0,-7.0,3300,0.0,12.0,-5.0,3299
26,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,12.030075188,5.0,-7.0,133,0.0,14.0,-5.0,132
27,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,7.40740740741,5.0,-4.0,136,0.735294117647,12.0,-5.0,136
28,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,12.0879120879,6.0,-8.0,91,0.0,16.0,-5.0,91
29,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,11.3821138211,5.0,-6.0,492,0.406504065041,12.0,-7.0,492
30,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,11.9565217391,4.0,-9.0,92,0.0,14.0,-4.5,92
31,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,13.5338345865,5.0,-4.0,133,0.0,14.0,-3.5,132
32,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,7.77777777778,4.0,-8.0,91,0.0,14.0,-3.0,91
33,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,9.3131548312,5.0,-5.0,860,0.232558139535,11.0,-9.0,860
34,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,9.99057492931,4.0,-4.0,1070,0.186741363212,12.0,-5.0,1071
35,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,9.52380952381,5.0,-3.0,526,0.190114068441,13.0,-8.0,526
36,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,7.69230769231,4.0,-5.0,91,0.0,12.0,-10.0,91
37,HI,OGG,P,M,3220753,Kahului Airport,Kahului,United States,20.8985996246,-156.429992676,54.0,-10,10.3186646434,6.0,-14.0,660,0.151745068285,11.0,-7.0,659
38,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,7.44949494949,4.0,-12.0,2383,0.392028748775,11.0,-5.0,3061
39,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,6.59340659341,6.0,-6.0,91,0.0,12.0,-8.0,91
40,CA,ONT,P,M,2089801,Ontario International Airport,Ontario,United States,34.0559997559,-117.600997925,944.0,-8,9.26640926641,4.0,-6.0,259,0.384615384615,12.0,-8.0,260
