,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
13,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,25.0,8.0,-4.0,350,0.571428571429,13.0,-6.0,350
14,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,20.9302325581,6.0,-8.0,606,0.660066006601,16.0,-6.0,606
15,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,34.0826245443,6.0,0.0,1656,0.36253776435,20.0,0.0,1655
16,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,24.7749510763,5.0,-4.0,5147,0.418555981863,14.0,0.0,5734
17,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,16.0112359551,5.0,-8.0,716,0.839160839161,12.0,-5.0,715
18,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,16.7711598746,3.0,-8.0,2572,0.563063063063,14.0,-4.0,2664
19,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,19.495412844,4.0,-5.0,438,1.36674259681,13.0,-1.0,439
20,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,15.0,4.0,-7.5,525,0.761904761905,12.0,-4.0,525
21,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,14.2441860465,3.0,-15.0,345,0.869565217391,15.0,-1.0,345
22,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,21.9797349961,5.0,-6.0,1291,0.41067761807,13.0,-2.0,1461
23,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,17.3633440514,4.0,-7.0,312,0.0,13.0,-3.0,312
24,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,24.5810055866,5.0,-5.0,184,1.63043478261,12.0,9.0,184
25,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,20.9917355372,5.0,-6.0,609,0.328407224959,11.0,-1.0,609
26,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,7.5,6.0,-9.0,81,0.0,12.0,0.0,81
27,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,16.0,5.0,-6.0,352,0.56338028169,10.0,-2.0,355
28,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,18.4143222506,4.0,-12.0,393,0.254452926209,11.0,-3.0,393
29,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,17.2839506173,5.0,-5.0,814,0.615006150062,13.0,-1.0,813
30,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,17.0212765957,3.0,-10.0,141,0.0,11.0,0.0,141
31,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,18.2481751825,4.0,-5.0,276,0.361010830325,11.0,-3.0,277
32,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,21.1225997046,4.0,-7.0,1366,0.510948905109,12.0,0.0,1370
33,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,10.6761565836,6.0,-13.0,282,0.355871886121,11.0,-2.0,281
34,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,17.1837708831,4.0,-8.0,423,0.707547169811,10.0,-6.0,424
35,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,25.2971944841,3.0,-4.0,2108,0.42654028436,12.0,2.0,2110
36,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,25.587144623,5.0,-2.0,810,0.413650465357,12.0,-3.0,967
