,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
32,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,13.8911454102,4.0,-4.0,2471,0.404694455686,9.0,-1.0,2471
33,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,13.2780921584,4.0,-3.0,4965,0.342396777442,9.0,0.0,4965
34,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,15.9691998661,4.0,-3.0,6002,0.483172275908,9.0,0.0,6002
35,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,16.3577622853,4.0,-3.0,5891,0.152723570338,9.0,0.0,5893
36,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,9.5652173913,5.0,-10.0,1268,0.0,10.0,-3.0,1268
37,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,15.3601694915,5.0,-4.0,3785,0.184891706286,10.0,-1.0,3786
38,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,11.0782865583,5.0,-5.0,1357,0.294985250737,10.0,-2.0,1356
39,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,15.4802744425,6.0,-5.0,2347,0.46828437633,11.0,-1.0,2349
40,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,13.0239002425,6.0,-7.0,2900,0.310344827586,10.0,-2.0,2900
41,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,11.4946619217,5.0,-7.0,2821,0.460992907801,10.0,-2.0,2820
