,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
15,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,17.3660800619,5.0,-5.0,5205,0.463994060876,13.0,-1.0,5388
16,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,13.6030039256,5.0,-5.0,17663,0.224077082516,11.0,0.0,17851
17,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,16.3622526636,5.0,-4.0,3974,0.528434826371,14.0,-1.0,3974
18,IL,MDW,P,L,10830850,Chicago Midway International Airport,Chicago,United States,41.7859992981,-87.7524032593,620.0,-6,14.4908489097,5.0,-5.0,20894,1.43588761786,11.0,0.0,20893
19,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,21.5320910973,4.0,-1.0,2436,0.533661740558,11.0,0.0,2436
20,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,13.9705882353,6.0,-5.0,552,1.08499095841,12.0,-2.0,553
21,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,18.7282027435,4.0,-2.0,8716,1.20468104635,11.0,0.0,8716
22,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,15.8985257006,5.0,-6.0,7584,0.482147511076,10.0,-1.0,7674
23,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,19.8969735995,4.0,-3.0,3123,0.480153649168,10.0,0.0,3124
24,TX,DAL,P,M,7040950,Dallas Love Field,Dallas,United States,32.8470993042,-96.8517990112,487.0,-6,18.8928058493,5.0,-3.0,15595,1.06444373197,10.0,1.0,15595
25,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,17.3689865107,4.0,-4.0,8432,0.43880455408,9.0,0.0,8432
26,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,20.5718499099,5.0,-3.0,12491,1.69532187125,10.0,0.0,12505
27,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,19.5406850129,5.0,-2.0,5105,0.802976889933,10.0,0.0,5106
28,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,15.4467309195,6.0,-4.0,7721,0.388550705867,10.0,-1.0,7721
29,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,18.8585333481,6.0,-1.0,9152,1.05999344334,10.0,1.0,9151
30,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,17.7934467026,4.0,-4.0,4869,0.574948665298,9.0,-1.0,4870
31,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,18.5747663551,5.0,-3.0,6072,1.0046113307,9.0,-1.0,6072
32,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,17.724970783,4.0,-3.0,2582,0.464756003098,9.0,-1.0,2582
33,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,14.9265126933,4.0,-3.0,5262,0.494108703915,9.0,0.0,5262
34,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,18.3851976451,4.0,-1.0,6003,0.916208562385,9.0,1.0,6003
35,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,17.7555321391,4.0,-2.0,5721,0.489082969432,9.0,0.0,5725
36,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,19.174161897,5.0,-5.0,2475,0.444264943457,11.0,-1.0,2476
37,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,19.2613490639,4.0,-3.0,3945,0.811153358682,10.0,-1.0,3945
38,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,17.4501992032,5.0,-2.0,1264,0.712025316456,10.0,-1.0,1264
39,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,15.4577883472,5.0,-4.0,2536,0.394321766562,9.0,-2.0,2536
40,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,18.8596491228,5.0,-4.0,3446,0.464306442252,10.0,-1.0,3446
41,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,15.3282345443,4.0,-5.0,3162,0.474383301708,9.0,-2.0,3162
42,WI,MKE,P,M,3229897,General Mitchell International Airport,Milwaukee,United States,42.9472007751,-87.8965988159,723.0,-6,16.6349551509,5.0,-4.0,3699,0.486486486486,10.0,-2.0,3700
43,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,19.6988707654,5.0,-5.0,799,0.250312891114,11.0,0.0,799
44,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,15.0910158544,5.0,-4.0,1712,0.52600818235,9.0,-1.0,1711
45,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,17.5630252101,5.0,-3.5,1194,0.251256281407,10.0,-2.0,1194
46,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,14.4584936778,4.0,-6.0,1832,0.599781897492,9.0,-3.0,1834
47,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,19.1445325974,5.0,-2.0,2918,0.685400959561,9.0,0.0,2918
48,CA,ONT,P,M,2089801,Ontario International Airport,Ontario,United States,34.0559997559,-117.600997925,944.0,-8,18.3665788483,4.0,-2.0,2668,0.337457817773,8.0,0.0,2667
49,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,16.3116250761,4.0,-5.0,1660,0.843373493976,9.0,-2.0,1660
50,CA,BUR,P,S,1973897,Bob Hope Airport,Burbank,United States,34.2006988525,-118.35900116,778.0,-8,15.8390628979,3.0,-2.0,3996,1.6016016016,10.0,-1.0,3996
51,TN,MEM,P,S,1873716,Memphis International Airport,Memphis,United States,35.0424003601,-89.9766998291,341.0,-6,20.4131227217,5.0,-1.0,832,0.840336134454,9.0,-1.0,833
52,OK,OKC,P,S,1803188,Will Rogers World Airport,Oklahoma City,United States,35.3931007385,-97.6007003784,1295.0,-6,22.1411192214,4.0,-1.0,1665,0.960960960961,9.0,-1.0,1665
53,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,14.2048670062,5.0,-6.0,1783,0.729517396184,9.0,-2.0,1782
54,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,21.6828478964,5.0,0.0,309,0.0,11.0,-3.0,310
55,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,14.1078838174,6.0,-5.0,727,0.550206327373,11.0,-1.0,727
56,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,16.4835164835,4.0,-4.0,1747,0.801373783629,9.0,-1.0,1747
57,KY,SDF,P,S,1640297,Louisville International Standiford Field,Louisville,United States,38.1744,-85.736,501.0,-5,18.9512419503,5.0,-2.0,1093,0.914913083257,9.0,-1.0,1093
58,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,21.1016949153,4.0,-1.0,1189,0.589721988206,9.0,-1.0,1187
59,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,20.4834605598,4.0,-2.0,790,0.63371356147,9.0,-2.0,789
60,VA,ORF,P,S,1515200,Norfolk International Airport,Norfolk,United States,36.8945999146,-76.2012023926,26.0,-5,13.7784090909,4.0,-2.5,707,0.848656294201,9.0,-1.0,707
61,ID,BOI,P,S,1487777,Boise Air Terminal/Gowen field,Boise,United States,43.56439972,-116.2229996,2871.0,-7,21.9626168224,3.0,-1.0,860,0.697674418605,8.0,-2.0,860
62,TX,ELP,P,S,1381392,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984,3959.0,-7,20.8937899013,4.0,-1.0,1734,0.40369088812,10.0,-1.0,1734
63,OK,TUL,P,S,1359582,Tulsa International Airport,Tulsa,United States,36.1983985901,-95.8880996704,677.0,-6,21.9421101774,4.0,-2.0,1081,0.555555555556,9.0,-1.5,1080
64,AL,BHM,P,S,1325897,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,650.0,-6,14.7683397683,3.0,-5.0,1045,0.478011472275,9.0,-2.0,1046
65,MI,GRR,P,S,1280803,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663,794.0,-5,19.649122807,5.0,-3.0,573,0.871080139373,10.0,-4.0,574
66,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,16.6666666667,4.0,-5.0,1255,0.238853503185,9.0,-2.0,1256
67,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,18.0769230769,5.0,-3.0,522,0.191570881226,9.0,-3.0,522
68,IA,DSM,P,S,1156462,Des Moines International Airport,Des Moines,United States,41.5340003967,-93.6631011963,958.0,-6,18.3520599251,4.0,-5.0,268,0.746268656716,8.0,-2.0,268
69,OH,DAY,P,S,1041759,James M Cox Dayton International Airport,Dayton,United States,39.9024009705,-84.2193984985,1009.0,-5,13.6627906977,4.0,-7.0,348,0.859598853868,9.0,-3.0,349
70,NH,MHT,P,S,1026349,Manchester Airport,Manchester NH,United States,42.932598114,-71.4356994629,266.0,-5,14.4833197722,4.0,-5.0,1233,0.243506493506,9.0,-4.0,1232
71,AR,LIT,P,S,958510,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,34.7294006348,-92.2242965698,262.0,-6,17.3983739837,4.0,-4.0,618,0.0,8.0,-2.0,618
72,SC,GSP,P,S,955097,Greenville Spartanburg International Airport,Greenville,United States,34.8956985474,-82.2189025879,964.0,-5,18.018018018,3.0,-4.0,335,0.298507462687,9.0,-2.0,335
73,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,14.9019607843,4.0,-5.0,255,0.0,8.0,-2.0,255
