,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
21,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,21.9178082192,4.0,-7.0,438,0.228310502283,16.0,0.0,438
22,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,29.6617519514,4.0,-2.0,1183,1.54169586545,13.0,-1.0,1427
23,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,22.9452054795,4.0,-3.0,587,0.681431005111,13.0,-1.0,587
24,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,33.8888888889,6.0,-2.5,184,1.63043478261,12.0,16.5,184
25,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,30.0986842105,5.0,0.0,611,0.490998363339,12.0,2.0,611
26,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,30.1818181818,6.0,-4.0,276,0.724637681159,12.0,1.0,276
27,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,21.9565217391,5.0,-4.5,466,1.07296137339,11.0,-1.0,466
28,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,24.6710526316,4.0,-10.0,305,1.30718954248,11.0,0.0,306
29,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,20.7880434783,5.0,-5.0,747,1.33689839572,14.0,-1.0,748
30,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,38.3333333333,3.0,3.5,184,1.63043478261,11.0,12.0,184
31,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,24.9230769231,4.0,-3.0,327,0.917431192661,10.0,2.0,327
32,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,24.0135287486,4.0,-4.0,909,2.20264317181,11.0,0.5,908
33,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,23.8356164384,6.0,-7.0,366,0.273224043716,11.0,-1.0,366
34,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,18.4510250569,5.0,-6.0,445,1.12359550562,10.0,-4.0,445
35,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,25.5479452055,3.0,-6.0,1487,1.88172043011,11.0,0.0,1488
36,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,25.3918495298,5.0,-3.0,645,0.731707317073,13.0,-2.0,820
37,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,27.3942093541,5.0,-4.0,914,1.75054704595,11.0,-3.0,914
38,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,18.2156133829,4.0,-6.0,269,0.0,12.0,-4.0,270
39,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,19.0199335548,3.0,-6.0,1232,2.27457351747,10.0,-6.0,1231
40,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,42.2222222222,6.0,4.0,92,2.17391304348,10.0,12.0,92
41,CA,BUR,P,S,1973897,Bob Hope Airport,Burbank,United States,34.2006988525,-118.35900116,778.0,-8,34.4444444444,3.0,0.0,92,1.0989010989,15.0,5.0,91
42,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,16.7910447761,4.0,-5.0,273,2.1978021978,10.0,-4.0,273
43,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,24.1987179487,4.0,-3.0,627,0.797448165869,10.0,-3.0,627
44,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,18.998716303,5.0,-10.0,790,1.39064475348,13.0,-2.0,791
45,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,33.6448598131,5.0,3.0,109,1.83486238532,12.0,8.0,109
46,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,34.7826086957,3.0,3.5,184,0.0,10.0,5.0,184
47,CA,LGB,P,S,1220937,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004,60.0,-8,18.324829932,3.0,-4.0,2369,0.337695230055,11.0,-3.0,2369
48,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,25.5474452555,4.0,-2.5,289,5.19031141869,10.0,-5.0,289
49,NY,SYR,P,S,987732,Syracuse Hancock International Airport,Syracuse,United States,43.1111984253,-76.106300354,421.0,-5,33.8108882521,3.0,0.0,368,4.89130434783,12.0,-7.0,368
50,GA,SAV,P,S,980531,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,50.0,-5,23.7588652482,4.0,-8.0,287,1.393728223,12.0,0.0,287
51,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,26.8518518519,3.0,-1.0,336,3.57142857143,11.0,-6.0,336
52,NY,HPN,P,S,757466,Westchester County Airport,White Plains,United States,41.0670013428,-73.7076034546,439.0,-5,29.2878635908,5.0,-1.0,1012,1.08695652174,13.0,0.0,1012
53,FL,SRQ,P,S,607449,Sarasota Bradenton International Airport,Sarasota,United States,27.3953990936,-82.554397583,30.0,-5,22.8260869565,4.0,-9.5,92,1.08695652174,11.0,13.0,92
54,VT,BTV,P,S,581143,Burlington International Airport,Burlington,United States,44.4719009399,-73.1532974243,335.0,-5,22.3048327138,4.0,-5.0,276,3.26086956522,12.0,-5.0,276
55,FL,DAB,P,N,306360,Daytona Beach International Airport,Daytona Beach,United States,29.179899,-81.058098,34.0,-5,30.4347826087,3.0,-3.0,92,0.0,13.0,0.0,92
56,MA,ACK,P,N,155952,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355,47.0,-5,16.2227602906,5.0,-7.0,418,0.717703349282,12.0,-1.0,418
57,NY,SWF,P,N,142603,Stewart International Airport,Newburgh,United States,41.5041007996,-74.1047973633,491.0,-5,36.8131868132,6.0,7.0,184,1.08695652174,11.0,-4.5,184
