,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
10,FL,MIA,P,L,20986349,Miami International Airport,Miami,United States,25.7931995392,-80.2906036377,8.0,-5,21.1515771258,8.0,-5.0,12798,0.320786997434,17.0,-1.0,14028
11,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,21.4662447257,8.0,-6.0,1935,1.80785123967,15.0,-5.0,1936
12,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,16.7583791896,9.0,-6.0,2008,0.448654037886,16.0,-4.0,2006
13,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,23.2520652831,9.0,-1.0,4993,0.460368294636,16.0,-3.0,4996
14,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,26.8832391714,7.0,-1.0,2145,0.886607559496,16.0,-4.0,2143
15,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,19.0610328638,5.0,-5.0,2146,0.606060606061,14.0,-4.0,2145
16,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,17.8358931784,7.0,-5.0,7291,1.04281009879,17.0,-4.0,7288
17,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,18.5252894576,9.0,-5.0,1652,0.787401574803,15.0,-3.0,1651
18,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,15.727112839,6.0,-6.0,10864,0.32865517854,20.0,-3.0,11258
19,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,24.9848300971,6.0,-2.0,6725,1.65031222123,22.0,-4.0,6726
20,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,20.3347280335,4.0,-6.0,2399,0.249687890137,14.0,-3.0,2403
21,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,18.878248974,6.0,-4.0,1465,0.477815699659,14.0,-4.0,1465
22,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,19.5979899497,6.0,-3.0,7674,1.23794631222,19.0,-3.0,7674
23,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,15.270018622,5.0,-6.0,1079,0.462534690102,14.0,-4.0,1081
24,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,22.6788432268,6.0,-2.0,665,0.902255639098,15.0,-3.0,665
25,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,15.1774262505,3.0,-5.0,2347,0.4260758415,17.0,-4.0,2347
26,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,21.1155378486,5.0,-3.0,759,0.922266139657,18.0,-6.0,759
27,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,18.7346437346,4.0,-4.0,3268,0.336597307222,12.0,-4.0,3268
28,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,13.2897603486,4.0,-5.0,920,0.217627856366,12.0,-5.0,919
29,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,19.061441703,4.0,-7.0,2092,1.05162523901,12.0,-4.0,2092
30,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,17.4550020929,5.0,-7.0,2427,1.07128141739,12.0,-4.0,2427
31,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,19.0239867659,6.0,-6.0,1220,1.31255127153,13.0,-3.0,1219
32,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,9.83606557377,5.0,-6.0,184,0.54347826087,12.0,-6.0,184
33,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,19.972826087,4.0,-6.0,1491,1.27431254192,12.0,-4.0,1491
34,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,15.9351789332,6.0,-7.0,1505,1.53129161119,13.0,-5.0,1502
35,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,18.2528062469,4.0,-4.0,2062,0.630761766133,14.0,-3.0,2061
36,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,14.8604802077,5.0,-4.0,1553,0.514800514801,13.0,-3.0,1554
37,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,16.3498098859,4.0,-3.0,1055,0.284360189573,13.0,-3.0,1055
38,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,16.9811320755,5.0,-2.0,904,0.110619469027,11.0,-3.0,904
39,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,18.9152542373,4.0,-6.0,1485,0.672043010753,12.0,-3.0,1488
40,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,19.9864498645,4.0,-6.0,1506,1.32802124834,12.0,-5.0,1506
41,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,12.7272727273,6.0,-8.0,608,1.14942528736,12.0,-5.0,609
42,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,13.91184573,5.0,-6.0,1458,0.479780671693,11.0,-5.0,1459
43,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,16.0865475071,6.0,-8.0,1074,0.652376514445,13.0,-5.0,1073
44,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,16.0,5.0,-7.0,632,0.789889415482,12.0,-4.0,633
