,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
63,HI,LIH,P,S,1491688,Lihue Airport,Lihue,United States,21.9759998322,-159.339004517,153.0,-10,18.0995475113,6.0,-10.0,221,0.452488687783,10.0,-5.0,221
64,ID,BOI,P,S,1487777,Boise Air Terminal/Gowen field,Boise,United States,43.56439972,-116.2229996,2871.0,-7,7.14285714286,3.0,-12.0,154,0.649350649351,11.0,-6.0,154
65,HI,KOA,P,S,1485777,Kona International At Keahole Airport,Kona,United States,19.7388000488,-156.046005249,47.0,-10,16.0583941606,4.0,-7.5,274,0.36496350365,11.0,-2.0,274
66,OK,TUL,P,S,1359582,Tulsa International Airport,Tulsa,United States,36.1983985901,-95.8880996704,677.0,-6,9.58083832335,3.0,-14.0,168,0.595238095238,12.0,-5.0,168
67,MI,GRR,P,S,1280803,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663,794.0,-5,16.4835164835,4.0,-12.5,183,0.549450549451,13.0,-5.0,182
68,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,17.2727272727,5.0,-6.5,221,1.35746606335,11.0,-1.0,221
69,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,20.1149425287,6.0,-6.0,174,0.574712643678,14.0,-3.0,174
70,IA,DSM,P,S,1156462,Des Moines International Airport,Des Moines,United States,41.5340003967,-93.6631011963,958.0,-6,15.2744630072,4.0,-12.0,423,0.709219858156,12.0,-6.0,423
71,GA,SAV,P,S,980531,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,50.0,-5,0.0,4.0,-22.0,1,0.0,31.0,23.0,1
72,CA,PSP,P,S,947728,Palm Springs International Airport,Palm Springs,United States,33.82970047,-116.507003784,477.0,-8,13.8613861386,5.0,-12.0,101,0.0,12.0,-2.0,101
73,SC,MYR,P,S,899859,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502,25.0,-5,0.0,3.0,-16.0,1,0.0,9.0,1.0,1
74,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,16.1290322581,3.0,-5.0,31,0.0,13.0,-1.0,31
75,WI,MSN,P,S,826640,Dane County Regional Truax Field,Madison,United States,43.1399002075,-89.3375015259,887.0,-6,14.3540669856,4.0,-13.0,210,0.0,11.0,-5.0,210
76,KS,ICT,P,S,773550,Wichita Mid Continent Airport,Wichita,United States,37.6498985291,-97.4330978394,1333.0,-6,13.1355932203,4.0,-13.0,236,0.423728813559,11.0,-6.0,236
77,HI,ITO,P,S,627171,Hilo International Airport,Hilo,United States,19.7213993073,-155.04800415,38.0,-10,16.4179104478,6.0,-5.0,67,1.49253731343,12.0,-3.0,67
78,FL,SRQ,P,S,607449,Sarasota Bradenton International Airport,Sarasota,United States,27.3953990936,-82.554397583,30.0,-5,0.0,2.0,-9.0,1,0.0,12.0,-12.0,1
79,PA,MDT,P,S,587049,Harrisburg International Airport,Harrisburg,United States,40.1935005188,-76.7633972168,310.0,-5,22.0779220779,4.0,-6.0,155,0.645161290323,11.0,0.0,155
80,VT,BTV,P,S,581143,Burlington International Airport,Burlington,United States,44.4719009399,-73.1532974243,335.0,-5,20.3125,4.0,-9.0,64,0.0,12.0,-3.0,65
81,MT,BZN,P,S,512042,Gallatin Field,Bozeman,United States,45.77750015,-111.1529999,4473.0,-7,9.25110132159,5.0,-13.0,228,0.438596491228,11.0,-5.0,228
82,SD,FSD,P,S,493530,Joe Foss Field Airport,Sioux Falls,United States,43.5820007324,-96.741897583,1429.0,-6,8.98876404494,5.0,-16.0,90,0.0,12.5,-6.0,90
83,OR,EUG,P,S,447813,Mahlon Sweet Field,Eugene,United States,44.1245994568,-123.211997986,374.0,-8,15.2317880795,4.0,-13.0,302,0.0,12.0,-5.0,303
84,MT,BIL,P,S,420426,Billings Logan International Airport,Billings,United States,45.8077011108,-108.542999268,3652.0,-7,12.7071823204,4.0,-9.0,182,0.0,10.0,-7.0,182
85,TX,MFE,P,N,391687,Mc Allen Miller International Airport,Mcallen,United States,26.17580032,-98.23860168,107.0,-6,9.09090909091,4.0,-12.0,254,0.0,10.0,-7.0,254
86,MT,MSO,P,N,350172,Missoula International Airport,Missoula,United States,46.91630173,-114.0910034,3206.0,-7,0.0,4.5,-18.5,6,0.0,11.5,-1.5,6
87,WY,JAC,P,N,313151,Jackson Hole Airport,Jacksn Hole,United States,43.6072998047,-110.737998962,6451.0,-7,11.0,3.0,-6.5,201,0.0,12.0,-4.0,203
